Employee,EmployeeAbsenceTransaction.Date,TransactionType,Hours,Available Hours at end of Year,Available Hours Per Employee,
213407,1/1/2024,61,-2,129.21876,129.21876,
213407,1/1/2024,61,-2,129.21876,,
213885,1/1/2024,61,-2,123.3884,123.3884,
213885,1/1/2024,61,-2,123.3884,,
214181,1/1/2024,61,-2,123.158,123.158,
214181,1/1/2024,61,-2,123.158,,
208807,1/2/2024,61,-8,139.99738,139.99738,
208807,1/2/2024,61,-8,139.99738,,
209560,1/2/2024,61,-1.5,177.375368,177.375368,
209560,1/2/2024,61,-1.5,177.375368,,
209805,1/2/2024,61,-5,124.974218,124.974218,
209805,1/2/2024,61,-5,124.974218,,
209831,1/2/2024,61,-1.5,146.373523,146.373523,
209831,1/2/2024,61,-1.5,146.373523,,
209841,1/2/2024,61,-8,78.2188,78.2188,
209841,1/2/2024,61,-8,78.2188,,
210135,1/2/2024,61,-8,22.905612,22.905612,
210135,1/2/2024,61,-8,22.905612,,
210605,1/2/2024,61,-6,69.2832,69.2832,
210605,1/2/2024,61,-6,69.2832,,
210606,1/2/2024,61,-8,971.0024,971.0024,
210606,1/2/2024,61,-8,971.0024,,
210785,1/2/2024,61,-8,616.56636,616.56636,
210785,1/2/2024,61,-8,616.56636,,
211103,1/2/2024,61,-8,85.658461,85.658461,
211103,1/2/2024,61,-8,85.658461,,
211112,1/2/2024,61,-8,679.6376,679.6376,
211112,1/2/2024,61,-8,679.6376,,
211253,1/2/2024,61,-1,854.5444,854.5444,
211253,1/2/2024,61,-1,854.5444,,
211269,1/2/2024,61,-9,499.39,499.39,
211269,1/2/2024,61,-9,499.39,,
211336,1/2/2024,61,-8,11.816721,11.816721,
211336,1/2/2024,61,-8,11.816721,,
211429,1/2/2024,61,-2.5,203.514199,203.514199,
211429,1/2/2024,61,-2.5,203.514199,,
211661,1/2/2024,61,-12,1024.0024,1024.0024,
211661,1/2/2024,61,-12,1024.0024,,
211755,1/2/2024,61,-8,690.24676,690.24676,
211755,1/2/2024,61,-8,690.24676,,
211925,1/2/2024,61,-8,156.128,156.128,
211925,1/2/2024,61,-8,156.128,,
211936,1/2/2024,61,-1.5,154.71362,154.71362,
211936,1/2/2024,61,-1.5,154.71362,,
211942,1/2/2024,61,-13.33,742.5784,742.5784,
211942,1/2/2024,61,-13.33,742.5784,,
211952,1/2/2024,61,-4,112.986,112.986,
211952,1/2/2024,61,-4,112.986,,
212150,1/2/2024,61,-8,60.9408,60.9408,
212150,1/2/2024,61,-8,60.9408,,
212208,1/2/2024,61,-1.5,490.12,490.12,
212208,1/2/2024,61,-1.5,490.12,,
212209,1/2/2024,61,-2,11.3738,11.3738,
212209,1/2/2024,61,-2,11.3738,,
212231,1/2/2024,61,-8,31.258,31.258,
212231,1/2/2024,61,-8,31.258,,
212273,1/2/2024,61,-8,467.9112,467.9112,
212273,1/2/2024,61,-8,467.9112,,
212432,1/2/2024,61,-8,161.440379,161.440379,
212432,1/2/2024,61,-8,161.440379,,
212449,1/2/2024,61,-3,104.8672,104.8672,
212449,1/2/2024,61,-3,104.8672,,
212459,1/2/2024,61,-8,129.05257,129.05257,
212459,1/2/2024,61,-8,129.05257,,
212498,1/2/2024,61,-8,379.33116,379.33116,
212498,1/2/2024,61,-8,379.33116,,
212566,1/2/2024,61,-8,80.3188,80.3188,
212566,1/2/2024,61,-8,80.3188,,
212604,1/2/2024,61,-8,54.7432,54.7432,
212604,1/2/2024,61,-8,54.7432,,
212614,1/2/2024,61,-2,97.1748,97.1748,
212614,1/2/2024,61,-2,97.1748,,
212666,1/2/2024,61,-0.5,52.90116,52.90116,
212666,1/2/2024,61,-0.5,52.90116,,
212668,1/2/2024,61,-8,124.9288,124.9288,
212668,1/2/2024,61,-8,124.9288,,
212770,1/2/2024,61,-8,437.246,437.246,
212770,1/2/2024,61,-8,437.246,,
212788,1/2/2024,61,-8,217.3648,217.3648,
212788,1/2/2024,61,-8,217.3648,,
212919,1/2/2024,61,-8,148.0316,148.0316,
212919,1/2/2024,61,-8,148.0316,,
212935,1/2/2024,61,-8,534.784,534.784,
212935,1/2/2024,61,-8,534.784,,
212980,1/2/2024,61,-8,511.632,511.632,
212980,1/2/2024,61,-8,511.632,,
212992,1/2/2024,61,-3,71.9972,71.9972,
212992,1/2/2024,61,-3,71.9972,,
213014,1/2/2024,61,-8,358.8624,358.8624,
213014,1/2/2024,61,-8,358.8624,,
213050,1/2/2024,61,-8,104.7068,104.7068,
213050,1/2/2024,61,-8,104.7068,,
213088,1/2/2024,61,-4,71.1504,71.1504,
213088,1/2/2024,61,-4,71.1504,,
213213,1/2/2024,61,-8,166.69,166.69,
213213,1/2/2024,61,-8,166.69,,
213285,1/2/2024,61,-8,5.3956,5.3956,
213285,1/2/2024,61,-8,5.3956,,
213325,1/2/2024,61,-8,24.514091,24.514091,
213325,1/2/2024,61,-8,24.514091,,
213359,1/2/2024,61,-5,163.650273,163.650273,
213359,1/2/2024,61,-5,163.650273,,
213472,1/2/2024,61,-8,69.70819,69.70819,
213472,1/2/2024,61,-8,69.70819,,
213484,1/2/2024,61,-1.5,46.918085,46.918085,
213484,1/2/2024,61,-1.5,46.918085,,
213493,1/2/2024,61,-8,293.67956,293.67956,
213493,1/2/2024,61,-8,293.67956,,
213559,1/2/2024,61,-8,52.570863,52.570863,
213559,1/2/2024,61,-8,52.570863,,
213572,1/2/2024,61,-8,293.08605,293.08605,
213572,1/2/2024,61,-8,293.08605,,
213598,1/2/2024,61,-11,11.08487,11.08487,
213598,1/2/2024,61,-11,11.08487,,
213600,1/2/2024,61,-8,25.891791,25.891791,
213600,1/2/2024,61,-8,25.891791,,
213708,1/2/2024,61,-4,214.5464,214.5464,
213708,1/2/2024,61,-4,214.5464,,
213742,1/2/2024,61,-8,7.506233,7.506233,
213742,1/2/2024,61,-8,7.506233,,
213794,1/2/2024,61,-9,35.0072,35.0072,
213794,1/2/2024,61,-9,35.0072,,
213814,1/2/2024,61,-8,211.3148,211.3148,
213814,1/2/2024,61,-8,211.3148,,
213828,1/2/2024,61,-2.25,32.2224,32.2224,
213828,1/2/2024,61,-2.25,32.2224,,
213872,1/2/2024,61,-8,3.698271,3.698271,
213872,1/2/2024,61,-8,3.698271,,
213876,1/2/2024,61,-8,9.2352,9.2352,
213876,1/2/2024,61,-8,9.2352,,
213892,1/2/2024,61,-2.75,12.1328,12.1328,
213892,1/2/2024,61,-2.75,12.1328,,
213916,1/2/2024,61,-8,67.468,67.468,
213916,1/2/2024,61,-8,67.468,,
213925,1/2/2024,61,-1,115.7756,115.7756,
213925,1/2/2024,61,-1,115.7756,,
213948,1/2/2024,61,-3,5.152245,5.152245,
213948,1/2/2024,61,-3,5.152245,,
213949,1/2/2024,61,-8,126.3908,126.3908,
213949,1/2/2024,61,-8,126.3908,,
213975,1/2/2024,61,-8,3.716,3.716,
213975,1/2/2024,61,-8,3.716,,
213993,1/2/2024,61,-2,131.52889,131.52889,
213993,1/2/2024,61,-2,131.52889,,
214018,1/2/2024,61,-8,57.36716,57.36716,
214018,1/2/2024,61,-8,57.36716,,
214050,1/2/2024,61,-8,88.6592,88.6592,
214050,1/2/2024,61,-8,88.6592,,
214053,1/2/2024,61,-8,15.316603,15.316603,
214053,1/2/2024,61,-8,15.316603,,
214122,1/2/2024,61,-8,12.817535,12.817535,
214122,1/2/2024,61,-8,12.817535,,
214146,1/2/2024,61,-8,10.082848,10.082848,
214146,1/2/2024,61,-8,10.082848,,
214179,1/2/2024,61,-8,115.158,115.158,
214179,1/2/2024,61,-8,115.158,,
214232,1/2/2024,61,-8,116.111395,116.111395,
214232,1/2/2024,61,-8,116.111395,,
214266,1/2/2024,61,-8,83.1564,83.1564,
214266,1/2/2024,61,-8,83.1564,,
214270,1/2/2024,61,-8,4.273924,4.273924,
214270,1/2/2024,61,-8,4.273924,,
214297,1/2/2024,61,-2,37.8492,37.8492,
214297,1/2/2024,61,-2,37.8492,,
214317,1/2/2024,61,-8,64.772,64.772,
214317,1/2/2024,61,-8,64.772,,
202486,1/3/2024,61,-8,368.2532,368.2532,
202486,1/3/2024,61,-8,368.2532,,
206181,1/3/2024,61,-8,39.7472,39.7472,
206181,1/3/2024,61,-8,39.7472,,
207419,1/3/2024,61,-1,268.9472,268.9472,
207419,1/3/2024,61,-1,268.9472,,
209724,1/3/2024,61,-1.5,267.650314,267.650314,
209724,1/3/2024,61,-1.5,267.650314,,
209805,1/3/2024,61,-2,124.974218,,
209805,1/3/2024,61,-2,124.974218,,
209841,1/3/2024,61,-8,78.2188,,
209841,1/3/2024,61,-8,78.2188,,
210135,1/3/2024,61,-8,22.905612,,
210135,1/3/2024,61,-8,22.905612,,
210136,1/3/2024,61,-8,82.45036,82.45036,
210136,1/3/2024,61,-8,82.45036,,
210166,1/3/2024,61,-2,197.5115,197.5115,
210166,1/3/2024,61,-2,197.5115,,
210300,1/3/2024,61,-2.75,995.4062,995.4062,
210300,1/3/2024,61,-2.75,995.4062,,
210337,1/3/2024,61,-6,994.0024,994.0024,
210337,1/3/2024,61,-6,994.0024,,
210519,1/3/2024,61,-0.5,802.5096,802.5096,
210519,1/3/2024,61,-0.5,802.5096,,
210605,1/3/2024,61,-8,69.2832,,
210605,1/3/2024,61,-8,69.2832,,
210606,1/3/2024,61,-8,971.0024,,
210606,1/3/2024,61,-8,971.0024,,
210644,1/3/2024,61,-1.5,513.0072,513.0072,
210644,1/3/2024,61,-1.5,513.0072,,
210785,1/3/2024,61,-8,616.56636,,
210785,1/3/2024,61,-8,616.56636,,
210802,1/3/2024,61,-4,597.5516,597.5516,
210802,1/3/2024,61,-4,597.5516,,
210948,1/3/2024,61,-8,81.41707,81.41707,
210948,1/3/2024,61,-8,81.41707,,
211070,1/3/2024,61,-8,1011.0024,1011.0024,
211070,1/3/2024,61,-8,1011.0024,,
211112,1/3/2024,61,-8,679.6376,,
211112,1/3/2024,61,-8,679.6376,,
211269,1/3/2024,61,-9,499.39,,
211269,1/3/2024,61,-9,499.39,,
211629,1/3/2024,61,-8,532.6536,532.6536,
211629,1/3/2024,61,-8,532.6536,,
211661,1/3/2024,61,-12,1024.0024,,
211661,1/3/2024,61,-12,1024.0024,,
211728,1/3/2024,61,-2,108.45284,108.45284,
211728,1/3/2024,61,-2,108.45284,,
211755,1/3/2024,61,-8,690.24676,,
211755,1/3/2024,61,-8,690.24676,,
211826,1/3/2024,61,-2,677.493903,677.493903,
211826,1/3/2024,61,-2,677.493903,,
211883,1/3/2024,61,-8,310.539586,310.539586,
211883,1/3/2024,61,-8,310.539586,,
211942,1/3/2024,61,-13.33,742.5784,,
211942,1/3/2024,61,-13.33,742.5784,,
211949,1/3/2024,61,-10,253.416,253.416,
211949,1/3/2024,61,-10,253.416,,
211969,1/3/2024,61,-8,33.939403,33.939403,
211969,1/3/2024,61,-8,33.939403,,
212071,1/3/2024,61,-2,670.8952,670.8952,
212071,1/3/2024,61,-2,670.8952,,
212092,1/3/2024,61,-3,599.6832,599.6832,
212092,1/3/2024,61,-3,599.6832,,
212093,1/3/2024,61,-10,335.9124,335.9124,
212093,1/3/2024,61,-10,335.9124,,
212150,1/3/2024,61,-8,60.9408,,
212150,1/3/2024,61,-8,60.9408,,
212209,1/3/2024,61,-1,11.3738,,
212209,1/3/2024,61,-1,11.3738,,
212273,1/3/2024,61,-8,467.9112,,
212273,1/3/2024,61,-8,467.9112,,
212503,1/3/2024,61,-3,472.5228,472.5228,
212503,1/3/2024,61,-3,472.5228,,
212515,1/3/2024,61,-8,96.138,96.138,
212515,1/3/2024,61,-8,96.138,,
212566,1/3/2024,61,-8,80.3188,,
212566,1/3/2024,61,-8,80.3188,,
212594,1/3/2024,61,-8,18.5596,18.5596,
212594,1/3/2024,61,-8,18.5596,,
212599,1/3/2024,61,-1,665.3672,665.3672,
212599,1/3/2024,61,-1,665.3672,,
212604,1/3/2024,61,-8,54.7432,,
212604,1/3/2024,61,-8,54.7432,,
212668,1/3/2024,61,-8,124.9288,,
212668,1/3/2024,61,-8,124.9288,,
212764,1/3/2024,61,-8,456.45756,456.45756,
212764,1/3/2024,61,-8,456.45756,,
212764,1/3/2024,61,-8,456.45756,,
212764,1/3/2024,61,-8,456.45756,,
212764,1/3/2024,61,8,456.45756,,
212764,1/3/2024,61,8,456.45756,,
212770,1/3/2024,61,-8,437.246,,
212770,1/3/2024,61,-8,437.246,,
212849,1/3/2024,61,-1.5,474.9797,474.9797,
212849,1/3/2024,61,-1.5,474.9797,,
212919,1/3/2024,61,-8,148.0316,,
212919,1/3/2024,61,-8,148.0316,,
212968,1/3/2024,61,-8,4.43364,4.43364,
212968,1/3/2024,61,-8,4.43364,,
212980,1/3/2024,61,-8,511.632,,
212980,1/3/2024,61,-8,511.632,,
212986,1/3/2024,61,-2.5,418.9396,418.9396,
212986,1/3/2024,61,-2.5,418.9396,,
212991,1/3/2024,61,-8,53.7472,53.7472,
212991,1/3/2024,61,-8,53.7472,,
213001,1/3/2024,61,-1,36.931926,36.931926,
213001,1/3/2024,61,-1,36.931926,,
213014,1/3/2024,61,-8,358.8624,,
213014,1/3/2024,61,-8,358.8624,,
213041,1/3/2024,61,-8,213.05,213.05,
213041,1/3/2024,61,-8,213.05,,
213050,1/3/2024,61,-8,104.7068,,
213050,1/3/2024,61,-8,104.7068,,
213108,1/3/2024,61,-8,9.613072,9.613072,
213108,1/3/2024,61,-8,9.613072,,
213192,1/3/2024,61,-6,381.9748,381.9748,
213192,1/3/2024,61,-6,381.9748,,
213213,1/3/2024,61,-8,166.69,,
213213,1/3/2024,61,-8,166.69,,
213222,1/3/2024,61,-6,22.697612,22.697612,
213222,1/3/2024,61,-6,22.697612,,
213264,1/3/2024,61,-4,51.2828,51.2828,
213264,1/3/2024,61,-4,51.2828,,
213392,1/3/2024,61,-2.5,167.7804,167.7804,
213392,1/3/2024,61,-2.5,167.7804,,
213474,1/3/2024,61,-10,54.376,54.376,
213474,1/3/2024,61,-10,54.376,,
213559,1/3/2024,61,-5.5,52.570863,,
213559,1/3/2024,61,-5.5,52.570863,,
