Employee,EmployeeAbsenceTransaction.Date,TransactionType,Hours,Available Hours at end of Year,Available Hours Per Employee,
200013,1/8/2022,21,3.6924,1011.6936,1011.6936,
200013,1/22/2022,21,3.6924,1011.6936,,
200013,2/5/2022,21,3.6924,1011.6936,,
200013,2/19/2022,21,3.6924,1011.6936,,
200013,3/5/2022,21,3.6924,1011.6936,,
200013,3/19/2022,21,3.6924,1011.6936,,
200013,4/2/2022,21,3.6924,1011.6936,,
200013,4/16/2022,21,3.6924,1011.6936,,
200013,4/30/2022,21,3.6924,1011.6936,,
200013,5/14/2022,21,3.6924,1011.6936,,
200013,5/28/2022,21,3.6924,1011.6936,,
200013,6/11/2022,21,3.6924,1011.6936,,
200013,6/25/2022,21,3.6924,1011.6936,,
200013,7/9/2022,21,3.6924,1011.6936,,
200013,7/23/2022,21,3.6924,1011.6936,,
200013,8/6/2022,21,3.6924,1011.6936,,
200013,8/20/2022,21,3.6924,1011.6936,,
200013,9/3/2022,21,3.6924,1011.6936,,
200013,9/17/2022,21,3.6924,1011.6936,,
200013,10/1/2022,21,3.6924,1011.6936,,
200013,10/15/2022,21,3.6924,1011.6936,,
200013,10/29/2022,21,3.6924,1011.6936,,
200013,11/12/2022,21,3.6924,1011.6936,,
200013,11/26/2022,21,3.6924,1011.6936,,
200013,12/10/2022,21,3.6924,1011.6936,,
200013,12/24/2022,21,3.6924,1011.6936,,
200089,1/8/2022,21,3.6924,1011.6936,1011.6936,
200089,1/22/2022,21,3.6924,1011.6936,,
200089,2/5/2022,21,3.6924,1011.6936,,
200089,2/19/2022,21,3.6924,1011.6936,,
200089,3/5/2022,21,3.6924,1011.6936,,
200089,3/19/2022,21,3.6924,1011.6936,,
200089,4/2/2022,21,3.6924,1011.6936,,
200089,4/16/2022,21,3.6924,1011.6936,,
200089,4/30/2022,21,3.6924,1011.6936,,
200089,5/14/2022,21,3.6924,1011.6936,,
200089,5/28/2022,21,3.6924,1011.6936,,
200089,6/11/2022,21,3.6924,1011.6936,,
200089,6/25/2022,21,3.6924,1011.6936,,
200089,7/9/2022,21,3.6924,1011.6936,,
200089,7/23/2022,21,3.6924,1011.6936,,
200089,8/6/2022,21,3.6924,1011.6936,,
200089,8/20/2022,21,3.6924,1011.6936,,
200089,9/3/2022,21,3.6924,1011.6936,,
200089,9/17/2022,21,3.6924,1011.6936,,
200089,10/1/2022,21,3.6924,1011.6936,,
200089,10/15/2022,21,3.6924,1011.6936,,
200089,10/29/2022,21,3.6924,1011.6936,,
200089,11/12/2022,21,3.6924,1011.6936,,
200089,11/26/2022,21,3.6924,1011.6936,,
200089,12/10/2022,21,3.6924,1011.6936,,
200089,12/24/2022,21,3.6924,1011.6936,,
200100,1/3/2022,61,-8,170.032988,170.032988,
200100,1/3/2022,61,-8,170.032988,,
200100,1/8/2022,21,3.6924,170.032988,,
200100,1/22/2022,21,3.6924,170.032988,,
200100,2/5/2022,21,3.6924,170.032988,,
200100,2/17/2022,61,-2,170.032988,,
